DW_CLIENTES;DW_TEMPO;DW_LOCALIDADE;total_sales;sales_amount;total_sales_price
afa2eea3260d1bb7dd6e3f85d9d37254a2d11ad6364103b55ae9f998afb5faa5;03bf63f83ce76bdfadb000cf68237e6a19bcbb766774e622dbae1a4fe272071b;fc870404c15b00be31dbab5a83a26bf22e9c1b2852fca737b56826e7e3b53287;2204776.0;"";1.7200425E7
505326e3a3c4d1615d9c4c36bc27254fd0d029b3f7e1253cf02b7705f0079cc0;4a7c74a14385771ddbee087b0add929f003e87e253bf13e59692a8ab71644637;24828e806a6d6b1cc04f4b0a7d9768da732e7bdf97a54690ebb3549b93028708;2204776.0;"";1.7200425E7
505326e3a3c4d1615d9c4c36bc27254fd0d029b3f7e1253cf02b7705f0079cc0;731858ce30087e0f43679f920fcfd5440ea73b62687300422a6e7671d4850954;24828e806a6d6b1cc04f4b0a7d9768da732e7bdf97a54690ebb3549b93028708;2204776.0;215680.0;1.7200425E7
9328982a5347ed487c86ff57474e64bd87414d4b4c00c77dbe16eca4c73f80a8;f18512a3271b9006bf76ff025a56b5f9251a151d205848d0dcf7be9c3f5fe33b;9286b944fbafed03da279deb2a2579d7843df9617d7cfb377a44031ccbc8b077;2204776.0;"";1.7200425E7
5850c8acb37cf3ec1e5e02ef58df131bd48581fb18ac1e97d6dc44116c76268e;934de845060385051c6c8aa4efe68b76dfca378c5988cb39e56a1fd22d475a2e;f106d6f589aa784fb7991f5458c056f2d4f1394679c66414c97a2959f8841dae;2204776.0;"";1.7200425E7
66a8c698aefc482c00df529fd4381c076c93bf5a32916f36be6d12d43426efa8;f007857208d9139bb723972d124dd06660fd6ea61020ea944b87abff53b1fb9d;1f41d723eace6954d5fadf71b4e56614ea8810ab6fe1ee2a9eec139ccc2c1ff8;2204776.0;"";1.7200425E7
66a8c698aefc482c00df529fd4381c076c93bf5a32916f36be6d12d43426efa8;9e432715f05c09f98121f9799c796bf5f7b1c91d3ebdd17621d451def531d169;1f41d723eace6954d5fadf71b4e56614ea8810ab6fe1ee2a9eec139ccc2c1ff8;2204776.0;"";1.7200425E7
9b8dc1808384807db1309cd8b8f8130bca65277ecf36f90b4c6da9da74b39bb4;975abcd068d3b9e0fdb8fefeb8a8d7bd329ef80f92637a4e73f574201c244189;2f4f16418bd1a1026bdb0c33229a3f863698d61172e7bf326b7c24d378bedc3a;2204776.0;"";1.7200425E7
db23aad7ade68c3a4374b5ad539bd072895d125d8f85c48ecab706ffc84d4329;4a6ee3ba1502a84bd249f5c938b5e5a0ae0a1b9503856b954991ce2650ca34f8;a11f4ce2e632db0a1005784a8228c23dbb636bc1178473dee033576c667929f5;2204776.0;"";1.7200425E7
d8ca635eeed72183c5122d5493876dccdcc26f30aab183c9ded366b27b82cf44;6b1aca1d0de365f0121fdea4f840c0aa28bc03993dcf3e85436835c47ae4efa7;709ec877137b66662359e320d1d6544ffff2bc6893614b834072f3cc3b6e4d42;2204776.0;"";1.7200425E7
c6ce47b7ea38f21b8f766278df93d6dc3b61d7bc400870f685054a6c93d346fd;0cb82555b4eb06ddc8bfde7c755c91335c5f64ae8b6758783312f9e8c39820d5;b52bfd229ac5af4136602c0f446713bdefad66d088a30417504121ab4d85ee26;2204776.0;"";1.7200425E7
8de36d483dff3de7a7bd66c35945b7bdb19ece70dae9cfab4840713993162c2a;232204638a9b8a3fbd2d473595c6837f6a06c82cc102d919a29fd9543b915969;53a620049e5aeeb7b7e075acff6f4cfd4d852fe1e55a6abc9439289d68696ef4;2204776.0;"";1.7200425E7
9b300af26fbc05de3eb45e257f4509032eea7251590866405eeb0d1ac69c406d;d09b638a267dfe0bc15499ad5cbc58e161821769c638ac2de4d5f79c5ff10f80;254985dc771919e5d853eb80da7ddfe861518d90648becb472724e6f3ddee256;2204776.0;"";1.7200425E7
4f955633dd98c8ff740659009276712d986631792a1726c4161e27cef91eb34a;57347a81cc4c71a3106a902cca4e19c98ab9e077a448ba59a54f5919f640262f;4aaddca2cfbcee1b3538d6011a17f6ec43881c00a393e29118d1cddd9ba05110;2204776.0;"";1.7200425E7
c67230c244188da44b854dbc6c958ddce86a2d16def4cd76edc7270e19fa9450;7c82d3247c212122bcdcd4e86764dfe1d7ab58c9c1759eb0ee4c4ea6e9974b80;89c16bf9c9d73e5a9d3e8bad9c550235ace6761384085b054d02330ccd0464ed;2204776.0;"";1.7200425E7
b88b655b3730f8678b94086d3f4e2ff01ee149fbd8ca5725226859d541fb6fdb;52d5e95a249dc5e95633b703b7817030a0fdb7357b6bc88a90e8a116316e5619;f6a1f9ba3bf359aa94ecc5ae8acabe68bbcdd71b5860c93488788afbaf7baa1d;2204776.0;37206.0;1.7200425E7
7e0379936c723126ae876fb385397ba5cc63aee36a42ff1627be4ed4486cafc4;5daf5ff87650c25fa81c3a8df61661d5bd671974f4128b0310d58e326552458d;1cf63037848227af5d1c110e2e3afc5438675a4d264f548655da84d168f60ee1;2204776.0;"";1.7200425E7
fa9d5147f997f4e56c48159cd53eabdebf391065d80563b9bfca60b090e094e2;3e964af6d37b91a6bcf37c6aa9e2c051fb6a55ab144a3bdc4293cbb050afd359;bd559380262ee88209ebbb18e4db95e30fb772da515a52a266f6f4c60b1fe817;2204776.0;"";1.7200425E7
